Area Code,Day Mins,Phone,State,Prob,CustServ Calls,Eve Mins,Intl Mins
408,278.4,366-4467,AK,1.583729338e-10,1,81,9.8
408,245,382-5743,AK,1.583729338e-10,0,216.9,7.5
408,225.1,336-5406,AK,1.583729338e-10,0,199.2,14.6
408,217,375-5562,AK,1.583729338e-10,2,152.3,11.8
408,183.6,362-8331,AK,1.583729338e-10,1,58.6,8.7
408,182.3,383-9255,AK,1.583729338e-10,1,169.9,9.3
408,175.2,373-1028,AK,1.583729338e-10,1,151.7,5.3
408,159.5,416-1845,AK,1.583729338e-10,0,167.2,10.2
408,150.8,389-4602,AK,1.583729338e-10,1,295.9,12.5
408,150,334-4506,AK,1.583729338e-10,1,159.4,8.5
408,146.3,341-9764,AK,1.583729338e-10,0,162.5,14.5
408,100.1,396-2335,AK,1.583729338e-10,3,233.3,11.1
408,83.2,338-8566,AK,1.583729338e-10,1,190.6,10.7
415,278,333-5295,AK,1.583729338e-10,0,253.2,8.7
415,262.3,336-6533,AK,1.583729338e-10,3,198.9,6.6
415,252.4,346-8863,AK,1.583729338e-10,2,187.8,10
415,248.7,384-6132,AK,1.000000000,1,172.3,11.3
415,242.5,392-5587,AK,1.583729338e-10,2,102.8,9.3
415,211.7,389-7073,AK,1.583729338e-10,1,159.9,12.2
415,203.9,402-1381,AK,1.583729338e-10,3,187.6,10.5
415,195.9,397-5911,AK,1.583729338e-10,3,228.6,12.2
415,181.5,337-8078,AK,1.583729338e-10,2,205.1,14.7
415,178.4,366-6991,AK,1.583729338e-10,1,168.3,9.3
415,175.7,345-9153,AK,1.583729338e-10,2,187.2,8.6
415,172.8,364-7719,AK,1.000000000,4,183.1,7.9
415,170.9,356-5244,AK,1.583729338e-10,2,201.4,4.1
415,160.1,366-9781,AK,1.583729338e-10,3,168.7,9.5
415,159.3,378-7733,AK,1.583729338e-10,1,125.9,11.1
415,148.4,394-4548,AK,1.583729338e-10,0,193.8,6.9
415,103,330-5462,AK,1.583729338e-10,1,242.3,7.9
415,58.2,372-3750,AK,1.000000000,5,138.7,11.9
510,238.4,401-7334,AK,1.583729338e-10,3,246.5,12.4
510,190.9,359-9454,AK,1.583729338e-10,2,226.6,7.8
510,190.3,418-9385,AK,1.583729338e-10,2,194.5,11.7
510,185,332-2275,AK,1.583729338e-10,3,232.5,14.9
510,183.2,345-8237,AK,1.583729338e-10,1,126.8,11.2
510,182.5,366-5241,AK,1.583729338e-10,4,204.7,11.3
510,181.1,346-4360,AK,1.583729338e-10,2,314.4,4.2
510,174.9,411-4940,AK,1.583729338e-10,1,262,8.5
510,172.5,349-9060,AK,1.583729338e-10,0,142.6,10.9
510,148.3,414-7942,AK,1.583729338e-10,3,181.6,8.3
